url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error,processing_notes
http://rlosrivera.com,,,,,,,,,"Discovered potential contact page: http://rlosrivera.com/contact; Attempting to merge data from: http://rlosrivera.com/contact; Source page http://rlosrivera.com/contact had error: Fetch ClientError for http://rlosrivera.com/contact: ClientResponseError - 404, message='Not Found', url='http://rlosrivera.com/contact'; Merge from http://rlosrivera.com/contact complete."
http://starcomconsulting.com,,,,,,,,Fetch ClientError for http://starcomconsulting.com: ClientConnectorDNSError - Cannot connect to host starcomconsulting.com:80 ssl:default [getaddrinfo failed],
http://torget.org,,,,,,,,,Discovered potential contact page: http://torget.org/contact; Attempting to merge data from: http://torget.org/contact; Merge from http://torget.org/contact complete.
http://cancersupportdelaware.org,,,,,,,,"Fetch ClientError for http://cancersupportdelaware.org: ClientResponseError - 403, message='Forbidden', url='https://cancersupportdelaware.org/'",
http://cryptohomiesclub.io,,https://www.facebook.com/cryptohomiesnft,https://twitter.com/CRYPTOHOMIES_,,https://www.instagram.com/cryptohomies_,,,,"Discovered potential contact page: http://cryptohomiesclub.io/contact; Attempting to merge data from: http://cryptohomiesclub.io/contact; Source page http://cryptohomiesclub.io/contact had error: Fetch ClientError for http://cryptohomiesclub.io/contact: ClientResponseError - 404, message='Not Found', url='https://cryptohomiesclub.io/contact'; Merge from http://cryptohomiesclub.io/contact complete."
http://jessicaashwellness.com,,https://www.facebook.com/jessicaashwellness,,,https://www.instagram.com/jessicaashwellness,https://www.youtube.com/user/playlist; https://www.youtube.com/c/JessicaAshWellness1,,,Discovered potential contact page: http://jessicaashwellness.com/about; Attempting to merge data from: http://jessicaashwellness.com/about; Merge from http://jessicaashwellness.com/about complete.
http://pctouchservices.com,,https://www.facebook.com/home.php,https://twitter.com/mayisad,,,,Creation Assistance FaQs... Home | About Us | Contact Us | Resources | Services | Online Payment | Visitor Privacy Copyright © 2007 PC Touch Services Inc. All Rights Reserved.,,Discovered potential contact page: http://pctouchservices.com/websitepages/aboutus.htm; Attempting to merge data from: http://pctouchservices.com/websitepages/aboutus.htm; Merge from http://pctouchservices.com/websitepages/aboutus.htm complete.
http://sharonkinghoge.com,,,https://twitter.com/SharonKingHoge,,,,"480 Park Avenue  New York, NY 10022",,Discovered potential contact page: http://sharonkinghoge.com/contact; Attempting to merge data from: http://sharonkinghoge.com/contact; Merge from http://sharonkinghoge.com/contact complete.
http://steppir.com,,,,,,,,,Discovered potential contact page: https://steppir.com/contact; Attempting to merge data from: https://steppir.com/contact; Merge from https://steppir.com/contact complete.
http://highwayonerealestate.com,,,,,,,,Fetch ClientError for http://highwayonerealestate.com: ServerDisconnectedError - Server disconnected,
http://minastollery.com,,,,,https://www.instagram.com/electric_skillet,,,,Discovered potential contact page: http://minastollery.com/contact; Attempting to merge data from: http://minastollery.com/contact; Merge from http://minastollery.com/contact complete.
http://amwindowcleaning.org,,,,,,,,"Fetch ClientError for http://amwindowcleaning.org: ClientResponseError - 404, message='Not Found', url='https://www.amwindowcleaning.org/'",
http://cincyscrubs.com,,https://www.facebook.com/cincyscrubs,,,,,4934 Provident Dr,,Discovered potential contact page: http://cincyscrubs.com/contactus; Attempting to merge data from: http://cincyscrubs.com/contactus; Merge from http://cincyscrubs.com/contactus complete.
http://figlass.biz,845354631,,,,,,,,"Discovered potential contact page: http://figlass.biz/contact; Attempting to merge data from: http://figlass.biz/contact; Source page http://figlass.biz/contact had error: Fetch ClientError for http://figlass.biz/contact: ClientResponseError - 404, message='Not Found', url='http://figlass.biz/contact'; Merge from http://figlass.biz/contact complete."
http://horizons.church,+14025125700,https://www.facebook.com/groups; https://www.facebook.com/HorizonsCommunityChurch,,,https://www.instagram.com/horizons_community_church,https://www.youtube.com/c/HorizonsCommunityChurch; https://www.youtube.com/c/horizonscommunitychurch; https://www.youtube.com/c/Horizons-community-church,,,Discovered potential contact page: http://horizons.church/about-us; Attempting to merge data from: http://horizons.church/about-us; Merge from http://horizons.church/about-us complete.
http://mygoodhorse.weebly.com,,https://www.facebook.com/pages,,,,,,,"Discovered potential contact page: http://mygoodhorse.weebly.com/contact; Attempting to merge data from: http://mygoodhorse.weebly.com/contact; Source page http://mygoodhorse.weebly.com/contact had error: Fetch ClientError for http://mygoodhorse.weebly.com/contact: ClientResponseError - 404, message='Not Found', url='http://mygoodhorse.weebly.com/contact'; Merge from http://mygoodhorse.weebly.com/contact complete."
http://wombatworks.org,,https://www.facebook.com/wombatworksllc,https://twitter.com/WombatWorks,,,,,,Discovered potential contact page: http://wombatworks.org/contact.html; Attempting to merge data from: http://wombatworks.org/contact.html; Merge from http://wombatworks.org/contact.html complete.
http://yourhairdynasty.com,,https://www.facebook.com/yourhairdynasty,https://www.twitter.com/yourhairdynasty,,https://www.instagram.com/yourhairdynasty,https://www.youtube.com/user/yourhairdynasty,,,Discovered potential contact page: http://yourhairdynasty.com/contact; Attempting to merge data from: http://yourhairdynasty.com/contact; Merge from http://yourhairdynasty.com/contact complete.
http://alpha-research-associates-research-institute.business.site,,,,,,,,"Fetch ClientError for http://alpha-research-associates-research-institute.business.site: ClientResponseError - 404, message='Not Found', url='http://alpha-research-associates-research-institute.business.site'",
