url,phone_numbers,social_media_links,addresses,error
http://couplescounselingatlanta.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,409 Client Error: Conflict for url: http://couplescounselingatlanta.com/
http://philstreeppc.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='philstreeppc.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086CF0>: Failed to resolve 'philstreeppc.com' ([Errno 11001] getaddrinfo failed)""))"
http://romanthumbs.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='romanthumbs.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086F10>: Failed to resolve 'romanthumbs.com' ([Errno 11001] getaddrinfo failed)""))"
http://topcropalliance.com,8126140436,"{'facebook': ['https://www.facebook.com/topcropagronomy'], 'twitter': ['https://www.twitter.com/brianbbbush'], 'linkedin': [], 'instagram': [], 'youtube': ['https://www.youtube.com/channel/UC2h_3DFpDphhql_88XXLnxg']}",,
http://smilesbygateway.com,8178586333,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",4013 Gateway Drive,
http://solarecon.wordpress.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://johnstons-clothiers.business.site,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,404 Client Error: Not Found for url: http://johnstons-clothiers.business.site/
http://ohhappydayshatchetthrowing.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='ohhappydayshatchetthrowing.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B086E00>: Failed to resolve 'ohhappydayshatchetthrowing.com' ([Errno 11001] getaddrinfo failed)""))"
http://plumbingbydlt.com,7139798345; +17139798345,"{'facebook': ['https://www.facebook.com/Plumbing-By-DLT-217036568422674'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://completecaredevelopmentcenter.com,,"{'facebook': ['https://www.facebook.com/CompleteCareDevelopment'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://kaleofamilies.org,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://monahanclinics.com,+3863282710; +9048248353; 9048248353; 32080824; 32177328,"{'facebook': ['https://www.facebook.com/MonahanClinics'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/monahanchiro_medical'], 'youtube': []}",419 Anastasia Blvd,
http://samantharaiderbrown.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://beagibbons.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='beagibbons.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087CE0>: Failed to resolve 'beagibbons.com' ([Errno 11001] getaddrinfo failed)""))"
http://getranx.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://iam-boeing.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://roux30a.com,,"{'facebook': ['https://www.facebook.com/Roux30a'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/roux30a'], 'youtube': []}","114 Logan Lane Ste 1A, Santa Rosa Beach FL",
http://1laurellane.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='1laurellane.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087F00>: Failed to resolve '1laurellane.com' ([Errno 11001] getaddrinfo failed)""))"
http://airprofork.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/airprofork', 'https://www.instagram.com/p'], 'youtube': []}",,
