url,phone_numbers,facebook_links,twitter_x_links,linkedin_links,instagram_links,youtube_links,addresses,error
http://bostonzen.org,,,,,,,,
http://mazautoglass.com,4156264474,,,,,,"230 Bayshore Blvd. San Francisco, CA 94124; 230 Bayshore Blvd.",
http://melatee.com,,,,,,,,"HTTPConnectionPool(host='melatee.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBAD29810>: Failed to resolve 'melatee.com' ([Errno 11001] getaddrinfo failed)""))"
http://timent.com,,,,,,,,
http://tlalocrivas.com,,https://www.facebook.com/tlalocnyc,https://twitter.com/TlalocRivas,https://www.linkedin.com/in/tlaloc-rivas-2a6b2610,https://www.instagram.com/tlalocnyc,,,
http://creativebusinessassociates.com,,https://www.facebook.com/paula.easton,,,,,,
http://cumberland-river.com,,,,,,,,
http://verdantporch.com,,,,,,,,"HTTPConnectionPool(host='verdantporch.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBADC8C00>: Failed to resolve 'verdantporch.com' ([Errno 11001] getaddrinfo failed)""))"
http://workitstudio.com,,,,,,,,"HTTPSConnectionPool(host='www.sman27batam.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)')))"
http://coffee-homemachines.club,,,,,,,,"HTTPConnectionPool(host='coffee-homemachines.club', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBADC89E0>: Failed to resolve 'coffee-homemachines.club' ([Errno 11001] getaddrinfo failed)""))"
http://mendiolagardening.com,,,,,,,,"HTTPConnectionPool(host='mendiolagardening.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967570>: Failed to resolve 'mendiolagardening.com' ([Errno 11001] getaddrinfo failed)""))"
http://thestonenc.com,,https://www.facebook.com/thestonenc,,,https://www.instagram.com/thestonech,https://www.youtube.com/channel/UCeyl5O3CXdtA4W9HoKmEkIw,,
http://kansaslimousin.org,66710432; 1235892853935,https://www.facebook.com/groups,,,,,11535 Thomas Rd,
http://kkcger.com,,,,,,,,403 Client Error: Forbidden for url: https://kkcger.com/
http://maddux.pro,,,,,,,,"HTTPConnectionPool(host='maddux.pro', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967CE0>: Failed to resolve 'maddux.pro' ([Errno 11001] getaddrinfo failed)""))"
http://ohanaconsulting.net,9492307919,,,,,,,
http://postmodern-strings.com,,,,,,,,
http://takapartners.com,,,,,,,,
http://techbarstore.com,,,,,,,,
http://top-salon-hair-salon.business.site,,,,,,,,404 Client Error: Not Found for url: http://top-salon-hair-salon.business.site/
http://dolee-rentals.com,2293445037; 2294369620,https://www.facebook.com/DoLee-Rentals-Inc-141860142549724,https://twitter.com/DexYPHQ,,,,,
http://kns-construction.com,,,,,,,,
http://timothyburger.com,,,,,,,,
http://trueaudio.com,,,,,,,,
http://venturemediaagency.com,7325354027,https://www.facebook.com/venturemediadigital,,,https://www.instagram.com/venturemediadigital,,100 Walnut Ave Clark NJ 07066,
http://garrettwietholter.com,3178733230; 8557337333,https://www.facebook.com/153341281385570,,https://www.linkedin.com/in/garrett-wietholter-b5037a88,,https://www.youtube.com/user/watch,,
http://nashvilleucc.org,,,,,,,,
http://outforlifeministries.com,,,,,,https://www.youtube.com/user/watch,,
http://phack.org,,https://www.facebook.com/PHackCon,https://twitter.com/PHackCon,https://www.linkedin.com/company/pacific-hackers-conference,https://www.instagram.com/pacifichackersca,https://www.youtube.com/user/pacifichackers,,
http://potomaccanine.com,,,,,,,,
http://azureskies.com,,,,,,,,
http://couplescounselingatlanta.com,,,,,,,,409 Client Error: Conflict for url: http://couplescounselingatlanta.com/
http://philstreeppc.com,,,,,,,,"HTTPConnectionPool(host='philstreeppc.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBADC8380>: Failed to resolve 'philstreeppc.com' ([Errno 11001] getaddrinfo failed)""))"
http://romanthumbs.com,,,,,,,,"HTTPConnectionPool(host='romanthumbs.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967AC0>: Failed to resolve 'romanthumbs.com' ([Errno 11001] getaddrinfo failed)""))"
http://topcropalliance.com,8126140436,https://www.facebook.com/topcropagronomy,https://twitter.com/brianbbbush,,,https://www.youtube.com/channel/UC2h_3DFpDphhql_88XXLnxg,,
http://smilesbygateway.com,8178586333,,,,,,4013 Gateway Drive,
http://solarecon.wordpress.com,,,,,,,,
http://johnstons-clothiers.business.site,,,,,,,,404 Client Error: Not Found for url: http://johnstons-clothiers.business.site/
http://ohhappydayshatchetthrowing.com,,,,,,,,"HTTPConnectionPool(host='ohhappydayshatchetthrowing.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967790>: Failed to resolve 'ohhappydayshatchetthrowing.com' ([Errno 11001] getaddrinfo failed)""))"
http://plumbingbydlt.com,7139798345; +17139798345,https://www.facebook.com/Plumbing-By-DLT-217036568422674,,,,,,
http://completecaredevelopmentcenter.com,,https://www.facebook.com/CompleteCareDevelopment,,,,,,
http://kaleofamilies.org,,,,,,,,
http://monahanclinics.com,32080824; +9048248353; 32177328; 9048248353; +3863282710,https://www.facebook.com/MonahanClinics,,,https://www.instagram.com/monahanchiro_medical,,419 Anastasia Blvd,
http://samantharaiderbrown.com,,,,,,,,
http://beagibbons.com,,,,,,,,"HTTPConnectionPool(host='beagibbons.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967F00>: Failed to resolve 'beagibbons.com' ([Errno 11001] getaddrinfo failed)""))"
http://getranx.com,,,,,,,,
http://iam-boeing.com,,,,,,,,
http://roux30a.com,,https://www.facebook.com/Roux30a,,,https://www.instagram.com/roux30a,,"114 Logan Lane Ste 1A, Santa Rosa Beach FL",
http://1laurellane.com,,,,,,,,"HTTPConnectionPool(host='1laurellane.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967F00>: Failed to resolve '1laurellane.com' ([Errno 11001] getaddrinfo failed)""))"
http://airprofork.com,,,,,https://www.instagram.com/airprofork; https://www.instagram.com/p,,,
http://candybartending.com,,https://www.facebook.com/Candythebartender,,,https://www.instagram.com/candybar_bartender,,,
http://kelleyroadrace.com,,,,,,,,
http://marrs-jonesfuneralhome.com,5122372425; 1512237,https://www.facebook.com/MarrsJonesFuneralHomeAllFaithsofthePinesChapel,,,,,,
http://motherssoontobe.com,,,,,,,,"HTTPConnectionPool(host='motherssoontobe.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967790>: Failed to resolve 'motherssoontobe.com' ([Errno 11001] getaddrinfo failed)""))"
http://palla-siding-and-windows.business.site,,,,,,,,404 Client Error: Not Found for url: http://palla-siding-and-windows.business.site/
http://propertyguysnj.com,,,,,,,,"HTTPConnectionPool(host='propertyguysnj.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967BD0>: Failed to resolve 'propertyguysnj.com' ([Errno 11002] getaddrinfo failed)""))"
http://rcgglobaltv.com,,,,,,,,"HTTPConnectionPool(host='rcgglobaltv.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA9678A0>: Failed to resolve 'rcgglobaltv.com' ([Errno 11001] getaddrinfo failed)""))"
http://rlosrivera.com,,,,,,,,
http://starcomconsulting.com,,,,,,,,"HTTPConnectionPool(host='starcomconsulting.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBADC98C0>: Failed to resolve 'starcomconsulting.com' ([Errno 11001] getaddrinfo failed)""))"
http://torget.org,,,,,,,,
http://cancersupportdelaware.org,,,,,,,,403 Client Error: Forbidden for url: https://cancersupportdelaware.org/
http://cryptohomiesclub.io,,https://www.facebook.com/cryptohomiesnft,https://twitter.com/CRYPTOHOMIES_,,https://www.instagram.com/cryptohomies_,,,
http://jessicaashwellness.com,,https://www.facebook.com/jessicaashwellness,,,https://www.instagram.com/jessicaashwellness,https://www.youtube.com/c/JessicaAshWellness1; https://www.youtube.com/user/playlist,,
http://pctouchservices.com,,https://www.facebook.com/home.php,https://twitter.com/mayisad,,,,,
http://sharonkinghoge.com,,,https://twitter.com/SharonKingHoge,,,,,
http://steppir.com,,,,,,,,
http://highwayonerealestate.com,,,,,,,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
http://minastollery.com,,,,,https://www.instagram.com/electric_skillet,,,
http://amwindowcleaning.org,,,,,,,,404 Client Error: Not Found for url: https://www.amwindowcleaning.org/
http://cincyscrubs.com,,https://www.facebook.com/cincyscrubs,,,,,4934 Provident Dr,
http://figlass.biz,845354631,,,,,,,
http://horizons.church,+14025125700,https://www.facebook.com/HorizonsCommunityChurch; https://www.facebook.com/groups,,,https://www.instagram.com/horizons_community_church,https://www.youtube.com/c/Horizons-community-church; https://www.youtube.com/c/horizonscommunitychurch; https://www.youtube.com/c/HorizonsCommunityChurch,,
http://mygoodhorse.weebly.com,,https://www.facebook.com/pages,,,,,,
http://wombatworks.org,,https://www.facebook.com/wombatworksllc,https://twitter.com/WombatWorks,,,,,
http://yourhairdynasty.com,,https://www.facebook.com/yourhairdynasty,https://www.twitter.com/yourhairdynasty,,https://www.instagram.com/yourhairdynasty,https://www.youtube.com/user/yourhairdynasty,,
http://alpha-research-associates-research-institute.business.site,,,,,,,,404 Client Error: Not Found for url: http://alpha-research-associates-research-institute.business.site/
http://annarborhomesrealtor.com,3137177788,https://www.facebook.com/maurarains1,,,,,"<a href=""/home-for-sale/2100-Tuomy-Road-Ann-Arbor-MI-48104/25026148-MISWMRIC"" class=""d-block"" title=""View property at 2100 Tuomy Road Ann Arbor, MI 48104"">; <a href=""/home-for-sale/2765-Polson-Street-Ann-Arbor-MI-48105/25026124-MISWMRIC"" class=""d-block"" title=""View property at 2765 Polson Street Ann Arbor, MI 48105"">; <a href=""/home-for-sale/7160-Warwick-Drive-Ypsilanti-MI-48197/20251003936-MIRC"" class=""d-block"" title=""View property at 7160 Warwick Drive Ypsilanti, MI 48197"">; 2100 Tuomy Road; 2765 Polson Street; 7160 Warwick Drive",
http://astepabovemb.com,,https://www.facebook.com/A-Step-Above-Flooring-810287332403927,https://twitter.com/AStepAboveMB,,https://www.instagram.com/astepaboveflooring,https://www.youtube.com/channel/UCfnhlL-4YRhTqg5w1GQ9Zkw,"721 Sandy Ln Unit F • Myrtle Beach, SC 29575; 721 Sandy Ln. Unit F",
http://buchanan-edwards.online,,,,,,,,
http://busiup.com,,,,,,,,"HTTPConnectionPool(host='busiup.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967AC0>: Failed to resolve 'busiup.com' ([Errno 11001] getaddrinfo failed)""))"
http://clockinc.org,,https://www.facebook.com/designs.chasing; https://www.facebook.com/clock.inc.qc,https://twitter.com/clockincLGBT,https://www.linkedin.com/in/clockinc,https://www.instagram.com/clockinclgbt,,,
http://oceancurrent.com,,,,,,,,403 Client Error: Forbidden for url: https://oceancurrent.com/
http://arnoldprint.com,7173925491,,,,,,"53 Eastman Ave,",
http://deepdivecounseling.net,,,,,,,,
http://forcht-law.com,,,,,,,,
http://graciejoplin.com,,https://www.facebook.com/zach.lawson.54; https://www.facebook.com/graciejoplin; https://www.facebook.com/shiloh.burchfield; https://www.facebook.com/Ghettotacos417; https://www.facebook.com/jason.rios.16547008; https://www.facebook.com/profile.php; https://www.facebook.com/rob.gaul.3,,,,,,
http://itpc-usa.com,,https://www.facebook.com/wix,https://www.twitter.com/wix,,https://www.instagram.com/wix,,,
http://scienceeducators.org,,,,,,,,"HTTPConnectionPool(host='scienceeducators.org', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967790>: Failed to resolve 'scienceeducators.org' ([Errno 11001] getaddrinfo failed)""))"
http://directdrivelogistics.com,,,,,,,"Copyright © 2025 Direct Drive Logistics, Inc.",
http://gsbphoto.com,,,,,,,,
http://pinehavenresort.com,,https://www.facebook.com/HackCFC; https://www.facebook.com/bearpausetheater; https://www.facebook.com/NorLightsCasino; https://www.facebook.com/login; https://www.facebook.com/Pine-Haven-Resort-on-Blackwater-Lake-130381357029056,,,,,,
http://cavachonsofoklahoma.com,,,,,,,,
http://fuecid.shop,,,,,,,,"HTTPConnectionPool(host='fuecid.shop', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967BD0>: Failed to resolve 'fuecid.shop' ([Errno 11001] getaddrinfo failed)""))"
http://janellesrestaurant.com,,,,,,,,"HTTPConnectionPool(host='janellesrestaurant.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA9678A0>: Failed to resolve 'janellesrestaurant.com' ([Errno 11001] getaddrinfo failed)""))"
http://peacefulwolftaichi.com,,,,,,,,
http://uomosport.com,,,,,,,,403 Client Error: Forbidden for url: https://uomosport.com/
http://warnby.com,,,,,,,,"HTTPConnectionPool(host='warnby.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA9679B0>: Failed to resolve 'warnby.com' ([Errno 11001] getaddrinfo failed)""))"
http://antiochassistedliving.com,,,,,,,,
http://davidprieto.realestate,8184223831; 91316422; +8184223831,https://www.facebook.com/DPREServices,https://twitter.com/share,https://www.linkedin.com/in/david-prieto-0a908330,,,"17404 Ventura Blvd. Unit 110, Encino, CA 91316; 18750 Keswick Street",
http://gygeneralservices.business.site,,,,,,,,404 Client Error: Not Found for url: http://gygeneralservices.business.site/
http://kickitupquilting.com,,https://www.facebook.com/KickItUpQuilting,,,https://www.instagram.com/kickitupquilting,,,
http://koimountain.com,,,,,,,,"Skipping http://koimountain.com, not HTML content (type: )"
http://pinolevistareimagined.com,,,,,,,,
http://seamuspuppy.com,,,,,,,,
http://aop3d.com,,,,,,,,403 Client Error: Forbidden for url: https://aop3d.com/
http://off-trail.co,,,,,https://www.instagram.com/offtrail.co,,,
http://proexecstaffing.com,7132482245,https://www.facebook.com/proexecstaffing,https://twitter.com/exec_pro,https://www.linkedin.com/company/pro-exec-staffing,,,,
http://stewartgrain.com,,,,,,,,
http://truyasushica.com,4082444534,,,,,,,
http://yingtexun.com,,,,,,,,"HTTPConnectionPool(host='yingtexun.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000020DBA967F00>, 'Connection to yingtexun.com timed out. (connect timeout=15)'))"
http://camilluscusecamp.com,,,,,,,,
http://hyhp.org,,https://www.facebook.com/hawaiiyhp,,https://www.linkedin.com/company/hyhp,https://www.instagram.com/hawaiiyhp,,,
http://rrrobotictec.com,,,,,,,,"HTTPConnectionPool(host='rrrobotictec.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967AC0>: Failed to resolve 'rrrobotictec.com' ([Errno 11001] getaddrinfo failed)""))"
http://thebeautyteam.com,9089175233,https://www.facebook.com/The-Beauty-Team-NJ-1524388267839855,,https://www.linkedin.com/in/daniela-brozkova-3b084b9,https://www.instagram.com/thebeautyteamnj,,,
http://justgooglebenhiggins.com,,,,,,,,
http://onsa.net,,,,,,,"1270 Chemeketa Street N.E., Salem, OR 97301",
http://stitchncluck.com,,,,,,,,
http://ascend-tech.us,,,https://twitter.com/AscendSoftTech,https://www.linkedin.com/company/ascendant-software-technology-llc,,,,
http://buryservices.com,,,,,,,,
http://cleaningsvccolumbiafalls.com,,,,,,,,"HTTPConnectionPool(host='cleaningsvccolumbiafalls.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA967790>: Failed to resolve 'cleaningsvccolumbiafalls.com' ([Errno 11001] getaddrinfo failed)""))"
http://fortlaudedalepsychic.com,,,,,,,,"HTTPConnectionPool(host='fortlaudedalepsychic.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x0000020DBA9678A0>: Failed to resolve 'fortlaudedalepsychic.com' ([Errno 11001] getaddrinfo failed)""))"
